date,open,high,low,close,preclose,volume,amount,pctChg,return_1d,ma5,ma20,volatility_20d
2019-06-19,3761.338,3771.347,3715.133,3715.938,3667.618,12559571456,172574179328.0,1.3175,0.013174763565889425,3675.7303999999995,3643.1809500000004,0.010722143323381764
2019-06-20,3718.941,3845.791,3717.185,3828.518,3715.938,16887207424,227726983168.0,3.0297,0.03029652270839822,3704.3553999999995,3652.1379,0.012498027697619209
2019-06-21,3832.732,3856.085,3817.306,3833.938,3828.518,15363515392,199961616384.0,0.1416,0.0014156913980813979,3740.1672,3664.6366000000003,0.011548919779024358
2019-06-24,3836.305,3853.545,3819.769,3841.265,3833.938,10008462080,143644733440.0,0.1911,0.0019110898506964347,3777.4554,3677.0042000000003,0.011553153375605626
2019-06-25,3837.425,3838.057,3755.009,3801.309,3841.265,12407591168,169358794752.0,-1.0402,-0.010401781704724833,3804.1936,3685.2098000000005,0.011757298362910758
2019-06-26,3779.512,3809.758,3771.716,3794.331,3801.309,8182028288,112106860544.0,-0.1836,-0.001835683444834424,3819.8722000000002,3691.3133499999994,0.011658497878210074
2019-06-27,3807.537,3854.08,3805.832,3834.817,3794.331,10531635712,156483420160.0,1.067,0.010670128673539558,3821.132,3699.8587500000003,0.011784868587730944
2019-06-28,3832.059,3835.232,3803.054,3825.587,3834.817,8476613888,116512051200.0,-0.2407,-0.0024068945141320075,3819.4618,3709.0789500000005,0.01166993229239866
2019-07-01,3899.331,3936.668,3886.909,3935.811,3825.587,15837033984,217470251008.0,2.8812,0.028812310372238414,3838.371,3724.3800500000007,0.012967211568963848
2019-07-02,3931.048,3942.425,3918.937,3937.169,3935.811,13186349568,173997043712.0,0.0345,0.00034503689328579945,3865.543,3739.6379,0.012971171043164397
2019-07-03,3927.436,3927.436,3878.84,3893.534,3937.169,11199260416,163145732096.0,-1.1083,-0.01108283642383645,3885.3836,3754.3913000000002,0.013077391097262652
2019-07-04,3895.197,3906.889,3854.693,3873.101,3893.534,9934225664,142669254656.0,-0.5248,-0.005247931570650177,3893.0404000000003,3768.1911,0.013208435307704647
2019-07-05,3875.373,3900.309,3857.928,3893.202,3873.101,7400652800,116236521472.0,0.519,0.005189898223671552,3906.5634,3784.6173499999995,0.01286127525395036
2019-07-08,3875.754,3875.754,3775.025,3802.789,3893.202,10953908736,147198418944.0,-2.3223,-0.023223300512020706,3879.9590000000003,3794.2196500000005,0.014095170627589946
2019-07-09,3798.095,3811.099,3774.764,3793.129,3802.789,7484273152,113147604992.0,-0.254,-0.0025402408600635473,3851.1510000000003,3797.91235,0.012565369125853912
2019-07-10,3807.949,3810.396,3774.23,3786.739,3793.129,7283394816,101355479040.0,-0.1685,-0.0016846250153896847,3829.7920000000004,3802.69455,0.012420501339670589
2019-07-11,3806.185,3830.738,3774.413,3785.221,3786.739,7531196416,113674616832.0,-0.0401,-0.00040087262417609626,3812.2160000000003,3807.68595,0.012409084958083376
2019-07-12,3783.073,3820.235,3774.522,3808.731,3785.221,7546596608,107007922176.0,0.6211,0.006210997984001487,3795.3218,3815.37855,0.012235381401073057
2019-07-15,3792.64,3844.868,3745.854,3824.187,3808.731,10120522240,142493044736.0,0.4058,0.004058044529792193,3799.6013999999996,3823.8467000000005,0.012231618772723744
2019-07-16,3819.247,3828.325,3799.866,3806.844,3824.187,8073095168,108449681408.0,-0.4535,-0.0045350815742012385,3802.3444000000004,3830.808,0.0123230576500589
2019-07-17,3800.106,3820.271,3787.897,3804.638,3806.844,9518388480,116766781440.0,-0.0579,-0.0005794826370610906,3805.9242,3835.243,0.012043481160331306
2019-07-18,3793.189,3793.391,3767.995,3768.401,3804.638,8749644544,111669366784.0,-0.9524,-0.009524427816785752,3802.5602,3832.23715,0.0101277373621483
2019-07-19,3787.507,3828.151,3787.507,3807.955,3768.401,8808614912,117797527552.0,1.0496,0.01049622903719638,3802.4049999999997,3830.9380000000006,0.010428651358298345
2019-07-22,3813.502,3816.538,3765.442,3781.683,3807.955,9210137600,117810446336.0,-0.6899,-0.006899241193764061,3793.9042,3827.9589,0.010516557694537888
2019-07-23,3783.541,3792.964,3768.761,3789.913,3781.683,7131334656,103866609664.0,0.2176,0.0021762797146138713,3790.518,3827.3890999999994,0.010281124715176539
2019-07-24,3803.586,3840.057,3803.573,3819.832,3789.913,9094068480,129940586496.0,0.7894,0.007894376467217024,3793.5568,3828.6641500000005,0.010423895586128853
2019-07-25,3821.389,3851.066,3812.953,3851.066,3819.832,9374041600,125899501568.0,0.8177,0.008176799398507573,3810.0898,3829.4765999999995,0.010308705797010057
2019-07-26,3835.228,3863.587,3832.522,3858.568,3851.066,8325929984,110929727488.0,0.1948,0.0019480320513853844,3820.2123999999994,3831.1256499999995,0.010295355331986892
2019-07-29,3857.939,3862.746,3842.426,3854.27,3858.568,8481436928,111679107072.0,-0.1114,-0.0011138847365137483,3834.7298,3827.0485999999996,0.007843549995361025
2019-07-30,3861.569,3890.729,3861.569,3870.317,3854.27,9412395520,120480280576.0,0.4163,0.004163434320896053,3850.8106,3823.7059999999997,0.007924497533769075
2019-07-31,3856.745,3856.745,3830.091,3835.358,3870.317,8215115520,111083892736.0,-0.9033,-0.009032593454231241,3853.9157999999998,3820.7972,0.0077970656617476425
2019-08-01,3819.324,3831.264,3791.546,3803.469,3835.358,8411418112,117649162240.0,-0.8314,-0.008314478074797793,3844.3964,3817.3156000000004,0.007919906453513178
2019-08-02,3729.13,3754.532,3720.058,3747.437,3803.469,10833589760,141874786304.0,-1.4732,-0.014731814561917078,3822.1701999999996,3810.0273500000003,0.00835744240480717
2019-08-05,3724.409,3739.503,3675.688,3675.688,3747.437,10132598016,133061099520.0,-1.9146,-0.019146152423643037,3786.4538000000002,3803.6722999999997,0.007843145318036268
2019-08-06,3609.111,3649.895,3575.862,3636.328,3675.688,12983387136,167267479552.0,-1.0708,-0.010708199390154993,3739.656,3795.8322499999995,0.008099372910758065
2019-08-07,3654.632,3659.077,3621.431,3621.431,3636.328,8423871488,108667666432.0,-0.4097,-0.004096715147808405,3696.8705999999997,3787.56685,0.008111167626896005
